Simulation,Predicted Price,Average Return,Log Return,Simple Return
316,145.795,0.0109348,0.0405437,0.0413769
317,148.346,0.0109348,0.0405437,0.0413769
318,145.775,0.0109348,0.0405437,0.0413769
319,146.348,0.0109348,0.0405437,0.0413769
320,146.099,0.0109348,0.0405437,0.0413769
321,146.748,0.0109348,0.0405437,0.0413769
322,148.262,0.0109348,0.0405437,0.0413769
323,146.096,0.0109348,0.0405437,0.0413769
324,146.135,0.0109348,0.0405437,0.0413769
325,147.978,0.0109348,0.0405437,0.0413769
326,145.308,0.0109348,0.0405437,0.0413769
327,147.595,0.0109348,0.0405437,0.0413769
328,145.291,0.0109348,0.0405437,0.0413769
329,147.269,0.0109348,0.0405437,0.0413769
330,147.147,0.0109348,0.0405437,0.0413769
331,146.34,0.0109348,0.0405437,0.0413769
