Simulation,Predicted Price,Average Return,Log Return,Simple Return
271,133.036,-0.0136078,-0.0396744,-0.0388976
272,133.86,-0.0136078,-0.0396744,-0.0388976
273,132.178,-0.0136078,-0.0396744,-0.0388976
274,134.221,-0.0136078,-0.0396744,-0.0388976
275,133.151,-0.0136078,-0.0396744,-0.0388976
276,133.247,-0.0136078,-0.0396744,-0.0388976
277,133.666,-0.0136078,-0.0396744,-0.0388976
278,134.09,-0.0136078,-0.0396744,-0.0388976
279,132.887,-0.0136078,-0.0396744,-0.0388976
280,133.886,-0.0136078,-0.0396744,-0.0388976
281,132.582,-0.0136078,-0.0396744,-0.0388976
282,133.549,-0.0136078,-0.0396744,-0.0388976
283,132.206,-0.0136078,-0.0396744,-0.0388976
284,134.134,-0.0136078,-0.0396744,-0.0388976
285,133.404,-0.0136078,-0.0396744,-0.0388976
286,132.606,-0.0136078,-0.0396744,-0.0388976
287,133.113,-0.0136078,-0.0396744,-0.0388976
288,132.432,-0.0136078,-0.0396744,-0.0388976
289,134.125,-0.0136078,-0.0396744,-0.0388976
290,133.002,-0.0136078,-0.0396744,-0.0388976
291,132.493,-0.0136078,-0.0396744,-0.0388976
292,132.912,-0.0136078,-0.0396744,-0.0388976
293,133.862,-0.0136078,-0.0396744,-0.0388976
294,133.343,-0.0136078,-0.0396744,-0.0388976
295,132.109,-0.0136078,-0.0396744,-0.0388976
296,133.655,-0.0136078,-0.0396744,-0.0388976
297,133.544,-0.0136078,-0.0396744,-0.0388976
298,132.962,-0.0136078,-0.0396744,-0.0388976
299,133.856,-0.0136078,-0.0396744,-0.0388976
300,133.961,-0.0136078,-0.0396744,-0.0388976
301,133.972,-0.0136078,-0.0396744,-0.0388976
302,132.661,-0.0136078,-0.0396744,-0.0388976
303,133.588,-0.0136078,-0.0396744,-0.0388976
304,134.058,-0.0136078,-0.0396744,-0.0388976
305,132.648,-0.0136078,-0.0396744,-0.0388976
306,132.511,-0.0136078,-0.0396744,-0.0388976
307,133.072,-0.0136078,-0.0396744,-0.0388976
308,134.228,-0.0136078,-0.0396744,-0.0388976
309,132.369,-0.0136078,-0.0396744,-0.0388976
310,133.871,-0.0136078,-0.0396744,-0.0388976
311,133.88,-0.0136078,-0.0396744,-0.0388976
312,132.86,-0.0136078,-0.0396744,-0.0388976
313,133.189,-0.0136078,-0.0396744,-0.0388976
314,133.995,-0.0136078,-0.0396744,-0.0388976
315,132.76,-0.0136078,-0.0396744,-0.0388976
316,132.366,-0.0136078,-0.0396744,-0.0388976
317,132.371,-0.0136078,-0.0396744,-0.0388976
318,133.786,-0.0136078,-0.0396744,-0.0388976
319,132.705,-0.0136078,-0.0396744,-0.0388976
320,132.263,-0.0136078,-0.0396744,-0.0388976
321,132.558,-0.0136078,-0.0396744,-0.0388976
322,133.107,-0.0136078,-0.0396744,-0.0388976
323,133.084,-0.0136078,-0.0396744,-0.0388976
324,132.19,-0.0136078,-0.0396744,-0.0388976
325,132.223,-0.0136078,-0.0396744,-0.0388976
326,133.1,-0.0136078,-0.0396744,-0.0388976
327,133.753,-0.0136078,-0.0396744,-0.0388976
328,133.676,-0.0136078,-0.0396744,-0.0388976
329,133.976,-0.0136078,-0.0396744,-0.0388976
330,133.376,-0.0136078,-0.0396744,-0.0388976
331,133.404,-0.0136078,-0.0396744,-0.0388976
332,133.714,-0.0136078,-0.0396744,-0.0388976
333,133.95,-0.0136078,-0.0396744,-0.0388976
334,132.763,-0.0136078,-0.0396744,-0.0388976
335,133.538,-0.0136078,-0.0396744,-0.0388976
336,132.368,-0.0136078,-0.0396744,-0.0388976
